CoCoNest_Parcel,Yeo_17_Name,Glasser_Name
1,LH_FreeSurfer_Defined_Medial_Wall,LH_L_H_ROI     
2,LH_17Networks_3                  ,LH_L_1_ROI     
3,RH_17Networks_15                 ,RH_R_POS1_ROI  
4,RH_FreeSurfer_Defined_Medial_Wall,RH_???         
5,RH_17Networks_1                  ,RH_R_V2_ROI    
6,LH_17Networks_3                  ,LH_L_3b_ROI    
7,RH_17Networks_14                 ,RH_R_A4_ROI    
8,RH_17Networks_8                  ,RH_R_FOP5_ROI  
9,RH_17Networks_3                  ,RH_R_3a_ROI    
10,LH_17Networks_3                  ,LH_L_6d_ROI    
11,RH_17Networks_9                  ,RH_R_PeEc_ROI  
12,RH_17Networks_9                  ,RH_R_TE2a_ROI  
13,LH_17Networks_2                  ,LH_L_V1_ROI    
14,LH_17Networks_4                  ,LH_L_3a_ROI    
15,RH_17Networks_3                  ,RH_R_6d_ROI    
16,RH_17Networks_8                  ,RH_R_47l_ROI   
17,RH_17Networks_6                  ,RH_R_6a_ROI    
18,LH_17Networks_17                 ,LH_L_9m_ROI    
19,RH_17Networks_3                  ,RH_R_5L_ROI    
20,LH_17Networks_3                  ,LH_L_24dd_ROI  
21,RH_17Networks_17                 ,RH_R_9m_ROI    
22,LH_17Networks_4                  ,LH_L_3a_ROI    
23,RH_17Networks_3                  ,RH_R_1_ROI     
24,RH_17Networks_16                 ,RH_R_v23ab_ROI 
25,LH_17Networks_4                  ,LH_L_RI_ROI    
26,LH_17Networks_17                 ,LH_L_TE1p_ROI  
27,RH_17Networks_12                 ,RH_R_IFJa_ROI  
28,LH_17Networks_6                  ,LH_L_6a_ROI    
29,RH_17Networks_15                 ,RH_R_PreS_ROI  
30,RH_17Networks_7                  ,RH_R_6r_ROI    
31,RH_17Networks_5                  ,RH_R_TPOJ3_ROI 
32,RH_17Networks_1                  ,RH_R_V4_ROI    
33,RH_17Networks_2                  ,RH_R_RSC_ROI   
34,LH_17Networks_1                  ,LH_L_V1_ROI    
35,LH_17Networks_14                 ,LH_L_STV_ROI   
36,LH_17Networks_5                  ,LH_L_LIPv_ROI  
37,RH_17Networks_3                  ,RH_R_24dd_ROI  
38,LH_17Networks_3                  ,LH_L_3a_ROI    
39,RH_17Networks_4                  ,RH_R_52_ROI    
40,RH_17Networks_9                  ,RH_R_EC_ROI    
41,RH_17Networks_3                  ,RH_R_4_ROI     
42,RH_17Networks_1                  ,RH_R_V1_ROI    
43,RH_17Networks_1                  ,RH_R_V1_ROI    
44,RH_17Networks_14                 ,RH_R_STSdp_ROI 
45,RH_17Networks_3                  ,RH_R_3a_ROI    
46,LH_17Networks_6                  ,LH_L_AIP_ROI   
47,LH_17Networks_7                  ,LH_L_23c_ROI   
48,LH_17Networks_3                  ,LH_L_3b_ROI    
49,RH_17Networks_16                 ,RH_R_RSC_ROI   
50,LH_17Networks_12                 ,LH_L_6a_ROI    
51,RH_17Networks_7                  ,RH_R_PoI1_ROI  
52,RH_17Networks_13                 ,RH_R_PGs_ROI   
53,RH_17Networks_5                  ,RH_R_TE1p_ROI  
54,LH_17Networks_11                 ,LH_L_7Pm_ROI   
55,RH_17Networks_5                  ,RH_R_MT_ROI    
56,RH_17Networks_7                  ,RH_R_PI_ROI    
57,LH_17Networks_17                 ,LH_L_47s_ROI   
58,RH_17Networks_3                  ,RH_R_1_ROI     
59,LH_17Networks_3                  ,LH_L_1_ROI     
60,LH_17Networks_10                 ,LH_L_OFC_ROI   
61,RH_17Networks_4                  ,RH_R_3a_ROI    
62,LH_17Networks_15                 ,LH_L_POS1_ROI  
63,RH_17Networks_16                 ,RH_R_7m_ROI    
64,LH_17Networks_4                  ,LH_L_6v_ROI    
65,RH_17Networks_3                  ,RH_R_1_ROI     
66,RH_17Networks_7                  ,RH_R_6r_ROI    
67,LH_17Networks_16                 ,LH_L_a24_ROI   
68,LH_17Networks_1                  ,LH_L_V1_ROI    
69,LH_17Networks_16                 ,LH_L_d23ab_ROI 
70,LH_17Networks_3                  ,LH_L_3a_ROI    
71,LH_17Networks_4                  ,LH_L_PFop_ROI  
72,RH_17Networks_2                  ,RH_R_V1_ROI    
73,LH_17Networks_5                  ,LH_L_PGp_ROI   
74,LH_17Networks_12                 ,LH_L_IFJa_ROI  
75,LH_17Networks_9                  ,LH_L_TGd_ROI   
76,LH_17Networks_10                 ,LH_L_10v_ROI   
77,LH_17Networks_2                  ,LH_L_V1_ROI    
78,RH_17Networks_5                  ,RH_R_TF_ROI    
79,LH_17Networks_6                  ,LH_L_2_ROI     
80,LH_17Networks_16                 ,LH_L_9m_ROI    
81,RH_17Networks_12                 ,RH_R_AIP_ROI   
82,LH_17Networks_1                  ,LH_L_V1_ROI    
83,LH_17Networks_3                  ,LH_L_3a_ROI    
84,LH_17Networks_3                  ,LH_L_4_ROI     
85,LH_17Networks_17                 ,LH_L_TE1a_ROI  
86,RH_17Networks_2                  ,RH_R_V1_ROI    
87,LH_17Networks_4                  ,LH_L_A4_ROI    
88,LH_17Networks_2                  ,LH_L_V2_ROI    
89,RH_17Networks_14                 ,RH_R_STGa_ROI  
90,LH_17Networks_7                  ,LH_L_43_ROI    
91,LH_17Networks_9                  ,LH_L_TGd_ROI   
92,RH_17Networks_4                  ,RH_R_6v_ROI    
93,LH_17Networks_1                  ,LH_L_PHA3_ROI  
94,RH_17Networks_13                 ,RH_R_TE1m_ROI  
95,RH_17Networks_7                  ,RH_R_FOP4_ROI  
96,LH_17Networks_16                 ,LH_L_8Ad_ROI   
97,LH_17Networks_10                 ,LH_L_OFC_ROI   
98,LH_17Networks_13                 ,LH_L_8Av_ROI   
99,RH_17Networks_16                 ,RH_R_RSC_ROI   
100,RH_17Networks_4                  ,RH_R_A5_ROI    
101,LH_17Networks_9                  ,LH_L_TF_ROI    
